工作节点id,机器id,机器name,upload_bandwidth,download_bandwidth,network_latency,free_memory,cuda_version,gpu_free_memory,gpu_name
6,5da471dd-f1c0-443a-a3b4-527312ffb0ee,DESKTOP-LHSF0U5,0.0,0.0,195.0,50.884395599365234,12.4,14.265889167785645,NVIDIA Quadro P5000
16,76a76315-b7db-4085-aa98-c277843c0727,DESKTOP-2DU4IC1,0.0,0.0,572.0,44.480926513671875,12.2,7.458984375,NVIDIA GeForce RTX 2080 Ti
56,e2cb6161-5248-4ca8-bbf4-c9dd3fc474eb,LAPTOP-2EKCN5SL,0.0,0.0,26.0,6.504756927490234,12.4,5.312160491943359,NVIDIA GeForce RTX 3060 Laptop GPU
88,074f6abf-3861-4f3b-96e3-1aba9dbaae09,DESKTOP-J1VP1PQ,0.0,0.0,29.0,21.538963317871094,12.5,5.822944641113281,NVIDIA GeForce RTX 3060 Laptop GPU
91,8d21d8f5-2147-4030-b9cf-48d885b461f9,DESKTOP-MFMQQBJ,0.0,0.0,42.0,7.333656311035156,11.4,1.3944416046142578,NVIDIA GeForce GT 730
93,0ff3c23e-9656-4482-a6f0-65f5012f4760,MS-RLLWGZBWUGAY,0.0,0.0,38.0,21.42208480834961,12.2,3.92578125,NVIDIA Quadro P620
183,eab8dd63-b9c6-40aa-bb68-4584f25935e7,DESKTOP-9T5GKTG,0.0,0.0,60.0,230.05577087402344,12.5,20.16756248474121,NVIDIA GeForce RTX 4090
226,c429dff5-2419-44ac-be33-0b86f9754d73,ITX-525,0.0,0.0,29.0,20.883014678955078,12.4,14.955496788024902,NVIDIA GeForce RTX 4070 Ti SUPER
231,6ca69a59-6d55-4ae4-a6cd-a8d778b46b65,Mabor,0.0,0.0,21.0,33.83159255981445,12.5,17.39492893218994,NVIDIA GeForce RTX 4090
252,996a9ba6-8266-456f-8c74-662764cfd3e9,DESKTOP-HDUOMB6,0.0,0.0,4.0,6.1454925537109375,12.5,8.88916015625,NVIDIA GeForce RTX 3080 Ti
277,4db76e24-897a-448f-b03f-fdd648e9b57c,衍凌,0.0,0.0,84.0,4.396518707275391,12.5,2.8091583251953125,NVIDIA GeForce RTX 3050 Laptop GPU
300,3bb18c20-9a79-4314-8520-4147ba6e2a70,LuoLuodddROG,0.0,0.0,76.0,20.936626434326172,12.4,7.830078125,NVIDIA GeForce RTX 3070 Ti Laptop GPU
335,ce3a8c46-7f09-4b1a-aeeb-65d97ef911df,desktop-101,0.0,0.0,8.0,16.10816192626953,12.3,5.037456512451172,NVIDIA GeForce GTX 1660 Ti
354,45fdf039-6ca8-4f44-b7f4-ea93bbbaf4d4,SCOTT-DESKTOP,0.0,0.0,27.0,44.319419860839844,12.5,5.464672088623047,NVIDIA GeForce RTX 3070
395,1b15a307-7721-4cfa-aa0d-480f1cb4b498,DESKTOP-RU1E50F,0.0,0.0,28.0,16.590301513671875,12.5,13.92462158203125,NVIDIA GeForce RTX 3090
423,1f70e982-6d8f-42a8-854b-00bcefbbb0ac,DESKTOP-3CEJ9CO,0.0,0.0,52.0,8.818351745605469,12.5,1.2459745407104492,NVIDIA GeForce 940MX
432,639c415e-5838-4f86-9106-e441562f883c,DESKTOP-V4HIJFE,0.0,0.0,45.0,7.8014373779296875,12.5,3.2584238052368164,NVIDIA GeForce GTX 1650
442,e03bbea1-a5a6-4a0d-b350-8cb5a2e8c2f6,WIN-QGQL8EFDVAN,0.0,0.0,31.0,1.9747238159179688,12.2,0.4610786437988281,NVIDIA GRID P40-1B
443,057062cf-fda2-4046-92c3-8d559e6172e9,DESKTOP-V6H2PHP,0.0,0.0,32.0,7.976703643798828,12.3,1.4132299423217773,NVIDIA GeForce RTX 3080 Ti
449,8261e63f-9be7-47e6-ad2f-e3f2695e8ead,DESKTOP-3M4R48S,0.0,0.0,45.0,49.95196533203125,Unknown,1.475358009338379,NVIDIA GeForce GTX 960
507,92d4ec9b-aa07-4c0c-befe-c3e328618884,DESKTOP-S91CGPR,0.0,0.0,10.0,22.636127471923828,12.5,10.009838104248047,NVIDIA GeForce RTX 3080 Ti
517,5cb01046-308a-4435-b3ec-fe943025cbc1,DESKTOP-50AUDO3,0.0,0.0,87.0,20.05120849609375,12.5,13.763435363769531,NVIDIA GeForce RTX 4070 Ti SUPER
546,343c4529-a074-4f09-95af-bee4cfebce09,DESKTOP-5KL344I,0.0,0.0,73.0,48.117950439453125,12.5,20.15536880493164,NVIDIA GeForce RTX 3090
553,af3b0499-15d4-4b3b-944e-d69cb113206f,WOOKING,0.0,0.0,50.0,11.504638671875,12.0,7.3103790283203125,NVIDIA GeForce RTX 4060 Laptop GPU
575,3109d110-226d-4304-89a6-da9c023197d8,WIN-BKR4SD8OHS4,0.0,0.0,43.0,10.822151184082031,12.5,7.225292205810547,NVIDIA GeForce RTX 3070
586,af0d0722-0d96-4f29-80f6-e3ff6ada5f05,DESKTOP-B040UVU,0.0,0.0,119.0,49.59482192993164,12.5,9.247310638427734,NVIDIA GeForce RTX 3080
600,26f8ef60-f257-4293-84ad-cc6ccd8a1829,DESKTOP-1NONUIB,0.0,0.0,5.0,20.901569366455078,12.4,22.344806671142578,NVIDIA GeForce RTX 4090
617,add79680-f699-4d63-a719-fa4af57158d7,DESKTOP-GZL1359,0.0,0.0,109.0,33.85361099243164,12.5,5.2956695556640625,NVIDIA GeForce RTX 3080
1445,473928cf-fcc9-484f-8c87-7650c721db39,h610,0.0,0.0,31.0,14.68951416015625,12.6,10.485400199890137,NVIDIA GeForce RTX 4070 SUPER
