工作节点id,机器id,机器name,upload_bandwidth,download_bandwidth,network_latency,free_memory,cuda_version,gpu_free_memory,gpu_name
6,5da471dd-f1c0-443a-a3b4-527312ffb0ee,DESKTOP-LHSF0U5,0.0,0.0,39.0,51.8795051574707,12.4,15.031022071838379,NVIDIA Quadro P5000
16,76a76315-b7db-4085-aa98-c277843c0727,DESKTOP-2DU4IC1,0.0,0.0,28.0,39.23143768310547,12.2,7.458984375,NVIDIA GeForce RTX 2080 Ti
37,8aa53781-5986-4db2-a0ab-25c1b3b41704,PlayGame,0.0,0.0,57.0,5.5673065185546875,12.5,3.3930864334106445,NVIDIA GeForce RTX 3050 Laptop GPU
47,128b0cb3-d7ba-4f13-82ea-e4a15be8bf01,ElysiaPC,0.0,0.0,20.0,21.215106964111328,12.5,9.371318817138672,NVIDIA GeForce RTX 3060
56,e2cb6161-5248-4ca8-bbf4-c9dd3fc474eb,LAPTOP-2EKCN5SL,0.0,0.0,26.0,4.256538391113281,12.4,4.431354522705078,NVIDIA GeForce RTX 3060 Laptop GPU
63,ec1a9e24-97eb-40c5-ab0b-13bf65b77acc,DESKTOP-1OL4HJG,0.0,0.0,30.0,12.153999328613281,12.2,0.45679569244384766,NVIDIA GeForce GTX 1050 Ti
66,2bd88f83-c5a3-4dba-abd8-b9684c8fea8a,LAPTOP-63R582JP,0.0,0.0,27.0,22.51944351196289,12.4,3.8594236373901367,NVIDIA GeForce RTX 3050 4GB Laptop GPU
87,d10f129a-e88c-4018-9b27-f4eba671ce62,DESKTOP-7CKPO9E,0.0,0.0,29.0,17.08783721923828,12.5,7.097194671630859,NVIDIA GeForce RTX 4070
88,074f6abf-3861-4f3b-96e3-1aba9dbaae09,DESKTOP-J1VP1PQ,0.0,0.0,28.0,21.184242248535156,12.5,5.820991516113281,NVIDIA GeForce RTX 3060 Laptop GPU
90,4df5825c-25c8-45f3-9d9e-2451970b252b,DESKTOP-5MAPPMB,0.0,0.0,22.0,12.342296600341797,11.7,11.535091400146484,NVIDIA GeForce RTX 3060
91,8d21d8f5-2147-4030-b9cf-48d885b461f9,DESKTOP-MFMQQBJ,0.0,0.0,39.0,3.3625144958496094,11.4,0.8026924133300781,NVIDIA GeForce GT 730
92,f8504aff-62df-4a79-90b2-fe52087ca0cc,LAPTOP-TBAA4R6P,0.0,0.0,24.0,26.03862762451172,12.2,14.926219940185547,NVIDIA GeForce RTX 3080 Laptop GPU
93,0ff3c23e-9656-4482-a6f0-65f5012f4760,MS-RLLWGZBWUGAY,0.0,0.0,37.0,16.548538208007812,12.2,3.5179786682128906,NVIDIA Quadro P620
112,a9bb191f-4395-4ff7-96a9-38d743597675,DESKTOP-Icraio,0.0,0.0,36.0,25.703956604003906,12.5,3.627408981323242,NVIDIA GeForce RTX 3050 Laptop GPU
133,79beb3f3-0c63-47b9-a4ae-df14888de99d,WIN-20240412UKD,0.0,0.0,38.0,53.526100158691406,12.4,21.532665252685547,NVIDIA GeForce RTX 4090
151,af6e63cf-87da-4d19-a3f6-fdf8600c1deb,DESKTOP-J8EMSE6,0.0,0.0,35.0,5.826286315917969,12.3,5.171710968017578,NVIDIA GeForce RTX 2060
165,bd7c3daf-eeea-4e59-85d6-9b5df7905e28,DESKTOP-B77G0IS,0.0,0.0,57.0,16.00823211669922,12.6,21.219436645507812,NVIDIA GeForce RTX 4090
172,bfa54cdd-0e1b-4da1-968b-69b636015328,DESKTOP-LCTM6JP,0.0,0.0,29.0,19.356800079345703,11.1,0.8470611572265625,NVIDIA GeForce GT 710
179,dc6d8589-475a-4801-be3a-885f473b93b3,SXTWIN101909,0.0,0.0,22.0,24.92388153076172,12.1,6.834659576416016,NVIDIA GeForce RTX 3070
183,eab8dd63-b9c6-40aa-bb68-4584f25935e7,DESKTOP-9T5GKTG,0.0,0.0,60.0,237.77855682373047,12.5,22.436330795288086,NVIDIA GeForce RTX 3090
184,feb17d05-f1b8-4015-a59d-2fa137e6986f,DESKTOP-EUQ4ADV,0.0,0.0,29.0,37.322025299072266,12.2,14.598403930664062,NVIDIA GeForce RTX 4090
187,1895abc1-c5e1-4fc5-8e49-660871cf06ab,DESKTOP-J84PEA5,0.0,0.0,60.0,11.011619567871094,12.4,5.244602203369141,NVIDIA GeForce GTX 1660 SUPER
226,c429dff5-2419-44ac-be33-0b86f9754d73,ITX-525,0.0,0.0,25.0,21.46050262451172,12.4,14.962020874023438,NVIDIA GeForce RTX 4070 Ti SUPER
231,6ca69a59-6d55-4ae4-a6cd-a8d778b46b65,Mabor,0.0,0.0,22.0,32.91545867919922,12.5,15.848628997802734,NVIDIA GeForce RTX 4090
240,ecba1905-cbc2-4441-9e61-eade25865173,幻X,0.0,0.0,42.0,14.565990447998047,12.4,5.436419486999512,NVIDIA GeForce RTX 4090 Laptop GPU
252,996a9ba6-8266-456f-8c74-662764cfd3e9,DESKTOP-HDUOMB6,0.0,0.0,4.0,6.9795074462890625,12.5,9.021907806396484,NVIDIA GeForce RTX 3080 Ti
277,4db76e24-897a-448f-b03f-fdd648e9b57c,衍凌,0.0,0.0,59.0,5.2520751953125,12.5,2.8114452362060547,NVIDIA GeForce RTX 3050 Laptop GPU
290,af6219e3-bfa3-4185-ac95-775393802edf,iExploreR,0.0,0.0,50.0,17.323265075683594,12.4,4.820703506469727,NVIDIA GeForce RTX 4070
300,3bb18c20-9a79-4314-8520-4147ba6e2a70,LuoLuodddROG,0.0,0.0,46.0,12.703250885009766,12.4,7.830078125,NVIDIA GeForce RTX 3070 Ti Laptop GPU
304,3c2f43bc-79ea-4b9b-b2d9-8af5273c4995,DESKTOP-P38ROOF,0.0,0.0,49.0,58.6618537902832,12.1,1.475088119506836,NVIDIA GeForce RTX 3060
335,ce3a8c46-7f09-4b1a-aeeb-65d97ef911df,desktop-101,0.0,0.0,10.0,18.237945556640625,12.3,5.368106842041016,NVIDIA GeForce GTX 1660 Ti
343,aee727a7-04f1-47c8-8336-ebd77bb9ba9a,小钢炮,0.0,0.0,33.0,32.835575103759766,12.6,8.970444679260254,NVIDIA GeForce RTX 4090
345,37cea3cc-a36f-4260-b95b-9a40fadbe24b,ROG,0.0,0.0,0.0,6.266979217529297,12.5,3.4192161560058594,NVIDIA GeForce GTX 1070
348,fc6bd95a-9484-4782-97dd-0c1a17ab8ac5,DESKTOP-2KQNV1A,0.0,0.0,168.0,50.62226867675781,12.6,23.390250205993652,NVIDIA GeForce RTX 3090
354,45fdf039-6ca8-4f44-b7f4-ea93bbbaf4d4,SCOTT-DESKTOP,0.0,0.0,27.0,34.02471923828125,12.5,0.9899444580078125,NVIDIA GeForce RTX 3070
370,d21c1378-76b2-4f24-ac95-2c6af38eb73b,DESKTOP-GTQ6OEQ,0.0,0.0,6.0,11.38882827758789,12.4,18.53838348388672,NVIDIA GeForce RTX 4090
395,1b15a307-7721-4cfa-aa0d-480f1cb4b498,DESKTOP-RU1E50F,0.0,0.0,27.0,12.219173431396484,12.5,15.878677368164062,NVIDIA GeForce RTX 3090
411,c735db2b-450f-43dc-b1ab-5a1c47d9fb27,DESKTOP-JTGS7JR,0.0,0.0,25.0,23.65843963623047,12.4,15.598773956298828,NVIDIA GeForce RTX 4090 Laptop GPU
423,1f70e982-6d8f-42a8-854b-00bcefbbb0ac,DESKTOP-3CEJ9CO,0.0,0.0,57.0,11.560737609863281,12.6,1.95458984375,NVIDIA GeForce 940MX
430,57cbaad1-9c72-48ce-ba71-48b5fd821e9c,DESKTOP-F8OSK49,0.0,0.0,32.0,9.85416030883789,12.1,5.584049224853516,NVIDIA GeForce GTX 1060
432,639c415e-5838-4f86-9106-e441562f883c,DESKTOP-V4HIJFE,0.0,0.0,53.0,11.088630676269531,12.6,3.4830799102783203,NVIDIA GeForce GTX 1650
442,e03bbea1-a5a6-4a0d-b350-8cb5a2e8c2f6,WIN-QGQL8EFDVAN,0.0,0.0,31.0,1.8974075317382812,12.2,0.4619483947753906,NVIDIA GRID P40-1B
443,057062cf-fda2-4046-92c3-8d559e6172e9,DESKTOP-V6H2PHP,0.0,0.0,418.0,11.268180847167969,12.3,1.455596923828125,NVIDIA GeForce RTX 3080 Ti
446,bb2b093d-da44-4cde-aec7-fd9a04ed799e,LAPTOP-SH6LCU63,0.0,0.0,71.0,8.31778335571289,12.1,7.006980895996094,NVIDIA GeForce RTX 4060 Laptop GPU
448,0134fe7b-25d5-4a0a-90d5-3e1a49efa486,LAPTOP-AB0LED7H,0.0,0.0,10.0,16.39944076538086,12.5,3.733367919921875,NVIDIA GeForce RTX 4090 Laptop GPU
449,8261e63f-9be7-47e6-ad2f-e3f2695e8ead,DESKTOP-3M4R48S,0.0,0.0,52.0,57.48650360107422,Unknown,1.475358009338379,NVIDIA GeForce GTX 960
450,2659d5c0-936c-44f6-aee0-51769f94d3a6,DESKTOP-Q5DPVRN,0.0,0.0,37.0,53.27069091796875,12.6,1.430558204650879,NVIDIA GeForce RTX 3070 Ti
507,92d4ec9b-aa07-4c0c-befe-c3e328618884,DESKTOP-S91CGPR,0.0,0.0,10.0,24.426700592041016,12.5,10.736861228942871,NVIDIA GeForce RTX 3080 Ti
517,5cb01046-308a-4435-b3ec-fe943025cbc1,DESKTOP-50AUDO3,0.0,0.0,74.0,22.89468765258789,12.5,14.514537811279297,NVIDIA GeForce RTX 4070 Ti SUPER
546,343c4529-a074-4f09-95af-bee4cfebce09,DESKTOP-5KL344I,0.0,0.0,28.0,48.25620651245117,12.5,20.179988861083984,NVIDIA GeForce RTX 3090
553,af3b0499-15d4-4b3b-944e-d69cb113206f,WOOKING,0.0,0.0,62.0,11.187431335449219,12.0,7.3336029052734375,NVIDIA GeForce RTX 4060 Laptop GPU
575,3109d110-226d-4304-89a6-da9c023197d8,WIN-BKR4SD8OHS4,0.0,0.0,48.0,10.97353744506836,12.5,7.276004791259766,NVIDIA GeForce RTX 3070
586,af0d0722-0d96-4f29-80f6-e3ff6ada5f05,DESKTOP-B040UVU,0.0,0.0,34.0,44.554054260253906,12.5,0.04864501953125,NVIDIA GeForce RTX 3080
600,26f8ef60-f257-4293-84ad-cc6ccd8a1829,DESKTOP-1NONUIB,0.0,0.0,5.0,13.11331558227539,12.4,18.824965476989746,NVIDIA GeForce RTX 4090
617,add79680-f699-4d63-a719-fa4af57158d7,DESKTOP-GZL1359,0.0,0.0,30.0,25.387741088867188,12.5,2.9512853622436523,NVIDIA GeForce RTX 3080
673,b8626279-b048-4705-8b5d-76bd4100aaaf,DESKTOP-L89K2P1,0.0,0.0,39.0,49.852867126464844,12.5,14.089391708374023,NVIDIA GeForce RTX 4070 Ti SUPER
1410,55dc39a3-ee2a-44c0-81e3-45420dcb0f08,JHSD-office-OF-2F,0.0,0.0,8.0,19.11998748779297,12.5,1.2153129577636719,NVIDIA GeForce GTX 1060 3GB
1904,f9a2ef54-a99e-4a94-82a9-ddfb56dd1b8e,A1,0.0,0.0,31.0,24.735809326171875,12.2,5.379222869873047,NVIDIA GeForce RTX 2060
